instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
,,f,0,1.80283,,0,377,377,377,1,0,6,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.764085,,0,378,378,378,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.84976,,0,379,379,379,1,0,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.040785,,0,380,380,380,1,1,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.986795,,0,381,381,381,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.068235,,0,382,382,382,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.70998,,0,383,383,383,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.48223,,0,384,384,384,1,1,3,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.4853,,0,385,385,385,1,1,2,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.997985,,0,386,386,386,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.90207,,0,387,387,387,1,1,2,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.81834,,0,388,388,388,1,0,4,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.703175,,0,389,389,389,1,1,4,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.334,,0,390,390,390,1,1,0,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.91719,,0,391,391,391,1,1,7,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.234355,,0,392,392,392,1,0,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.38676,,0,393,393,393,1,1,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.05266,,0,394,394,394,1,0,0,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.759825,,0,395,395,395,1,0,4,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.75234,,0,396,396,396,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.183975,,0,397,397,397,1,1,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.106085,,0,398,398,398,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.736185,,0,399,399,399,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.148685,,0,400,400,400,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.12369,,0,401,401,401,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.527205,,0,402,402,402,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.89808,,0,403,403,403,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.760985,,0,404,404,404,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.69586,,0,405,405,405,1,1,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.885155,,0,406,406,406,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.884185,,0,407,407,407,1,1,6,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.83524,,0,408,408,408,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.804415,,0,409,409,409,1,0,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.284425,,0,410,410,410,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.89679,,0,411,411,411,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.68133,,0,412,412,412,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.261525,,0,413,413,413,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.942125,,0,414,414,414,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.88613,,0,415,415,415,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.586055,,0,416,416,416,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.155405,,0,417,417,417,1,1,6,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.93204,,0,418,418,418,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.961295,j,0,419,419,419,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,43.78362,,,,,,
,,j,1,0.761865,,0,420,420,420,1,0,3,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.60574,,0,421,421,421,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.1486,,0,422,422,422,1,1,3,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.67863,,0,423,423,423,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.72998,,0,424,424,424,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
