tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
2,0,1,5,1,3,0,1,0,59,59,59,,,,,,,225.23060870000006,None,f,1,0.7358002000000852,226.23031070000002,None,226.23031070000002,None,226.98308870000005,None,space,227.5005371000001,None,20.969446399999924,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,6,2,3,1,3,1,1,0,60,60,60,,,,,,,248.48241730000007,None,j,1,0.6202940000000581,249.48173430000008,None,249.48173430000008,None,250.1171525000001,None,None,250.62287783000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,7,2,4,1,2,1,0,0,61,61,61,,,,,,,250.6224923000001,None,f,1,0.5758581999999706,251.6222560000001,None,251.6222560000001,None,252.21068660000003,None,None,252.71631713000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,5,2,3,2,3,0,0,0,62,62,62,,,,,,,252.71636360000002,None,f,1,0.8981097999999292,253.71610840000005,None,253.71610840000005,None,254.6334310000001,None,None,255.13896343000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,3,1,2,1,3,0,1,0,63,63,63,,,,,,,255.13916670000003,None,f,0,1.019604500000014,256.13852640000005,None,256.13852640000005,None,257.18561220000004,None,None,257.67953233000003,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,3,2,1,2,3,0,1,0,64,64,64,,,,,,,257.67956290000006,None,j,1,0.814193199999977,258.67931910000004,None,258.67931910000004,None,259.5139931000001,None,None,260.0199862300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,5,2,0,1,3,1,0,0,65,65,65,,,,,,,260.0200305000001,None,f,1,1.1942523999999821,261.0198699,None,261.0198699,None,262.23112590000005,None,None,262.73648003000005,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,7,1,2,3,1,1,0,0,66,66,66,,,,,,,262.73688590000006,None,f,1,0.7819643000000269,263.73623770000006,None,263.73623770000006,None,264.53631170000006,None,None,265.0419985300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,0,2,1,1,3,0,0,0,67,67,67,,,,,,,265.04224840000006,None,f,1,0.732711399999971,266.0414144,None,266.0414144,None,266.7941360000001,None,None,267.2999784300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,4,1,2,1,2,0,0,0,68,68,68,,,,,,,267.30018640000003,None,f,1,1.305687300000045,268.29986930000007,None,268.29986930000007,None,269.6171272,None,None,270.1228127300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
